11:45:09.750934 config: drop-rate=0.20, max-delay=10ms, seed=1
11:45:09.752924 router is listening at :3000
11:45:28.682418 [queue=1] packet #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6 is delayed for 8.7ms
11:45:28.692112 failed to deliver #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6: write udp [::]:3000->0.0.0.0:1234: wsasendto: The requested address is not valid in its context.
11:45:29.678398 [queue=1] packet #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6 is delayed for 5.9ms
11:45:29.685035 failed to deliver #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6: write udp [::]:3000->0.0.0.0:1234: wsasendto: The requested address is not valid in its context.
11:45:30.678230 [queue=1] packet #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6 is delayed for 1.8ms
11:45:30.682576 failed to deliver #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6: write udp [::]:3000->0.0.0.0:1234: wsasendto: The requested address is not valid in its context.
11:45:31.677636 [queue=0] packet #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6 is dropped
11:45:32.678014 [queue=0] packet #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6 is dropped
11:45:33.677656 [queue=0] packet #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6 is dropped
11:45:34.678297 [queue=1] packet #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6 is delayed for 9.4ms
11:45:34.688050 failed to deliver #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6: write udp [::]:3000->0.0.0.0:1234: wsasendto: The requested address is not valid in its context.
11:45:35.678873 [queue=1] packet #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6 is delayed for 6.2ms
11:45:35.686715 failed to deliver #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6: write udp [::]:3000->0.0.0.0:1234: wsasendto: The requested address is not valid in its context.
11:45:36.679197 [queue=1] packet #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6 is delayed for 2.8ms
11:45:36.683448 failed to deliver #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6: write udp [::]:3000->0.0.0.0:1234: wsasendto: The requested address is not valid in its context.
11:45:37.679348 [queue=1] packet #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6 is delayed for 1.1ms
11:45:37.681334 failed to deliver #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6: write udp [::]:3000->0.0.0.0:1234: wsasendto: The requested address is not valid in its context.
11:45:38.680042 [queue=1] packet #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6 is delayed for 3.7ms
11:45:38.684977 failed to deliver #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6: write udp [::]:3000->0.0.0.0:1234: wsasendto: The requested address is not valid in its context.
11:45:39.680244 [queue=1] packet #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6 is delayed for 9.5ms
11:45:39.690801 failed to deliver #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6: write udp [::]:3000->0.0.0.0:1234: wsasendto: The requested address is not valid in its context.
11:45:40.681060 [queue=1] packet #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6 is delayed for 2.8ms
11:45:40.685546 failed to deliver #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6: write udp [::]:3000->0.0.0.0:1234: wsasendto: The requested address is not valid in its context.
11:45:41.682358 [queue=1] packet #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6 is delayed for 4.7ms
11:45:41.688149 failed to deliver #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6: write udp [::]:3000->0.0.0.0:1234: wsasendto: The requested address is not valid in its context.
11:45:42.683558 [queue=1] packet #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6 is delayed for 8.7ms
